,area P1,perc_p1,area N1,perc_n1,area N2,perc_n2,area P3,perc_p3
0,0.005089652155483958,0.076,-0.012431839080870343,0.124,-0.011207920766466744,0.236,0.04654088694205791,0.324
1,0.05846129949916476,0.064,0.0,0.104,0.0,0.204,0.1416288237557495,0.256
2,0.014221424074216341,0.136,0.0,0.104,-0.02821364504617038,0.236,0.05710889659706009,0.368
3,0.023666056096391476,0.08,0.0,0.104,-0.008501655573647775,0.28,0.05838481523296079,0.456
4,0.010235712498230437,0.144,-0.005583764006498192,0.104,-0.0010333698415314978,0.26,0.03180027353835532,0.3
5,0.013843874371681667,0.14,-0.0021332630926758486,0.104,0.0,0.204,0.1762842959999878,0.256
6,0.0072314580271120674,0.068,-0.0015321405539763422,0.124,0.0,0.204,0.16460659103785555,0.32
7,0.006129593437893441,0.144,-0.0005894802626391669,0.112,-0.003450174109073246,0.268,0.03184665692429582,0.348
8,0.02187842809455659,0.056,0.0,0.104,-0.0034066615500465097,0.24,0.1481083588863894,0.404
9,0.0166170382105412,0.056,0.0,0.104,-0.020417018535562673,0.236,0.04546997809485685,0.296
10,0.011680697192697874,0.084,0.0,0.104,-0.024809753569809537,0.228,0.04094159289432135,0.296
11,0.006904050867990797,0.12,0.0,0.104,-0.01157701244988576,0.276,0.07832609684814118,0.444
12,0.010897334730127788,0.056,-0.005935747319577037,0.132,-0.004358765790328586,0.26,0.015127193998987083,0.504
13,0.011168784468067317,0.076,-0.004409190002876163,0.128,-0.018315688989971275,0.264,0.04877565225911786,0.648
14,0.014421129524354367,0.14,0.0,0.104,-0.010527392696741461,0.276,0.06628839881129486,0.476
15,0.03613665903366244,0.132,0.0,0.104,-0.043639774960634974,0.244,0.0010413751915267445,0.536
16,0.030042336080408894,0.1,0.0,0.104,0.0,0.204,0.10108022130815511,0.276
17,0.012134411517984962,0.056,-0.0020708094233559435,0.124,-0.004883848631319319,0.288,0.004221969753099748,0.256
18,0.01567964348906416,0.136,0.0,0.104,-0.014586525108404254,0.26,0.061286983863328745,0.512
19,0.0034909312833943194,0.08,-0.014861681030301457,0.12,-0.015379591534651462,0.26,0.01420981278009701,0.432
20,0.026774340223817382,0.092,0.0,0.104,-0.018057570956209287,0.268,0.03354829267010718,0.456
21,0.0034662498654811774,0.104,0.0,0.104,0.0,0.204,0.08033283883692821,0.332
22,0.008477389260119686,0.104,0.0,0.104,-0.023811101496947023,0.236,0.013483594118307497,0.716
23,0.010534954663460236,0.056,-0.01443824269477838,0.108,-0.00020715903862930874,0.296,0.13698214320308008,0.344
24,0.03425547295568826,0.116,-3.297729972736006e-05,0.104,-0.01868763074974911,0.26,0.16240978238059822,0.308
25,0.005412895056940811,0.136,-0.0006363160701924411,0.104,-0.01725047116763674,0.216,0.009938583791599833,0.788
26,0.0020206098451724793,0.092,-0.008375982852795495,0.128,-0.03303579415300885,0.24,0.012850014175739041,0.38
27,0.04178191102714714,0.056,-0.010341179460292484,0.168,-0.011475348506562105,0.268,0.21002524044238224,0.308
28,0.005827426980215414,0.076,-0.014072084988413686,0.12,-0.03249018912003404,0.232,0.036126601602297026,0.412
29,0.04384248322421634,0.056,0.0,0.104,-0.01208625455600958,0.256,0.09273189325648182,0.364
30,0.02692233863607937,0.132,0.0,0.104,-0.021334039114989427,0.24,0.06419650267392932,0.392
31,0.017771632826445404,0.124,0.0,0.104,-0.02758401871910593,0.244,0.00998930055183855,0.412
32,0.008952254059193065,0.088,0.0,0.104,-0.004173911625996242,0.232,0.0910503021149144,0.464
33,0.01357553684906554,0.08,0.0,0.104,-0.00290298929658793,0.244,0.011526411779686085,0.516
34,0.020743770046546626,0.112,0.0,0.104,-0.022959452778500998,0.244,0.014870809763599988,0.728
35,0.016019718911004285,0.096,0.0,0.104,0.0,0.204,0.06922462336394919,0.256
36,0.005640237410946198,0.148,-0.0013649020600616443,0.12,-0.0046880003414995,0.252,0.06800881940967995,0.432
37,0.07748275736461545,0.116,-0.08050613725577237,0.18,-0.16781959353249623,0.204,0.06800749201401882,0.296
38,0.05217865042362277,0.124,-0.053134874368558155,0.188,-0.12194658500509606,0.204,0.5284459229051988,0.284
39,0.027046354659025024,0.124,-0.03847346159738102,0.18,-0.14396482637825397,0.204,0.38810021672156353,0.3
40,0.019727747067915104,0.128,-0.049663974639793086,0.18,-0.09386708335935083,0.204,0.27145458145703677,0.352
41,0.14762738214499568,0.096,-0.0857707380572586,0.164,-0.0821778212181361,0.204,0.06477985884970408,0.284
42,0.012033535032253998,0.064,-0.16930182629522292,0.176,-0.3274427661151849,0.204,0.07576058145032555,0.324
43,0.02804062951806383,0.124,-0.0381497291356582,0.184,-0.1667677076173117,0.204,0.18853143619804205,0.312
44,0.008590021478084289,0.112,-0.062043438237292727,0.168,-0.09391544199321222,0.204,0.06073449491728991,0.412
45,0.0629211595781968,0.108,-0.030203506393016846,0.184,-0.1258569822416454,0.204,0.09624467964474226,0.36
46,0.10755082452632547,0.1,-0.056222888250895324,0.172,-0.09268036386214935,0.204,0.44751334059803566,0.304
47,0.07610951454575485,0.112,-0.05137650432025264,0.184,-0.16886692259214722,0.204,0.11569592397649942,0.368
48,0.06383890226284468,0.116,-0.04859628299294175,0.188,-0.13539599472945954,0.204,0.16804524496124498,0.524
49,0.016753345956634986,0.128,-0.01246462253687467,0.188,-0.03863471345892286,0.204,0.14788466163775177,0.292
50,0.07441950479890229,0.12,-0.014544618981466955,0.196,-0.1693170912967188,0.204,0.05159506862109352,0.36
51,0.0685464766666595,0.108,-0.03777514742930314,0.18,-0.05422674785362474,0.204,0.44582191462412596,0.304
52,0.010092539065261563,0.056,-0.008657859709522406,0.104,-0.038376470914987665,0.248,0.2563000043399114,0.332
53,0.020964758509723614,0.116,-0.05654373954292522,0.168,-0.1018270418536246,0.204,0.09864663769567264,0.356
54,0.029632814524265708,0.128,-0.015480562899037834,0.188,-0.13290402367332627,0.212,0.41395889647140005,0.46
55,0.006880657418394069,0.116,-0.029950141306216687,0.172,-0.09116837771295602,0.204,0.06001806884695953,0.36
56,0.0644118063459726,0.12,-0.05758179340696397,0.18,-0.14190812450350743,0.204,0.17164596048065883,0.312
57,0.0006611916610456681,0.056,-0.09819413074166544,0.104,-0.1489299067388941,0.204,0.0835683435052895,0.312
58,0.015708124817823438,0.128,-0.04227451958198817,0.18,-0.1646332367841739,0.204,0.006161298742390894,0.384
59,0.08814302932525937,0.112,-0.043029166637275,0.188,-0.11680480290933512,0.204,0.42339030226090885,0.288
60,0.03191870141538644,0.116,-0.12112300841985693,0.172,-0.21566644996734696,0.204,0.11112719942966218,0.308
61,0.0003707717920987914,0.124,-0.06184156380809801,0.156,-0.09560871769945695,0.24,0.1957440780281807,0.384
62,0.0,0.056,-0.0743597958922936,0.104,-0.06255196060360048,0.216,0.0548446391382544,0.3
63,0.06227970087190128,0.056,-0.011751157724315352,0.104,-0.054732101717605744,0.264,0.35397633025598685,0.32
64,0.06300077671250968,0.108,-0.02820400368646513,0.18,-0.034065383988838946,0.204,0.43061012335124194,0.296
65,0.060681953891878956,0.124,-0.0016519168362926556,0.104,-0.03736805934039976,0.252,0.264243602332041,0.312
66,0.08494224278912703,0.112,-0.08081234479369387,0.176,-0.16954023928950124,0.204,0.1271092434812658,0.356
67,0.00880263095815996,0.056,-0.08211155900344672,0.104,-0.03484402766708547,0.232,0.46708839698634513,0.3
68,0.0001615790874835243,0.144,-0.08388523472158992,0.18,-0.26423564728381266,0.204,0.0,0.256
69,0.0,0.056,-0.08087228204701456,0.148,-0.10871925686592432,0.204,0.0,0.256
70,0.08934681393957503,0.108,-0.032357915928405194,0.18,-0.12207195582095617,0.204,0.061985128067515605,0.372
71,0.07658978993382945,0.112,-0.02944843263848027,0.188,-0.11790205445106348,0.204,0.1956669504590814,0.4
72,0.09448703468178862,0.108,-0.04792494940274311,0.184,-0.1428762967915945,0.204,0.30788547641499703,0.3
73,0.016419855336806614,0.128,-0.020866849220001968,0.188,-0.20345038620484446,0.216,0.04192142786176765,0.464
74,0.001573238924549055,0.124,-0.04637490912296074,0.176,-0.10796200465013002,0.204,0.03139184090943996,0.328
75,0.025725368613099243,0.124,-0.06445467851736113,0.18,-0.19160221459437576,0.204,0.098948456054085,0.368
76,0.0014602670585867948,0.056,-0.03638844357915362,0.104,0.0,0.204,0.17818798789148743,0.256
77,0.005516649746511245,0.104,-0.0017592356107756914,0.144,0.0,0.204,0.27221057847973895,0.256
78,0.000986803536151507,0.056,-0.021564360669762406,0.104,0.0,0.204,0.278604554877807,0.256
79,0.0,0.056,-0.028131444511297957,0.104,0.0,0.204,0.05577671176906442,0.272
80,0.000741716826938248,0.056,-0.04686185669076764,0.104,-0.0038739319671763526,0.212,0.07526680387932086,0.256
81,0.0030290022036063512,0.056,-0.013714452626801592,0.104,0.0,0.204,0.10460222991533834,0.292
82,0.00035702368467245397,0.056,-0.02199597615497635,0.108,0.0,0.204,0.04058318979170957,0.256
83,0.00951902607487707,0.064,-0.002028322073791438,0.12,0.0,0.204,0.08627425197306901,0.256
84,0.00932126521935531,0.06,-0.05603504995256229,0.112,0.0,0.204,0.11229784124405356,0.256
85,0.0008586665388033214,0.072,-0.041724154513514626,0.116,0.0,0.204,0.07461227750051447,0.256
86,0.0,0.056,-0.03129239061874072,0.104,0.0,0.204,0.06760520218411964,0.256
87,0.0,0.056,-0.04741199791342948,0.128,-0.003209150540041717,0.272,0.029474296825746784,0.532
88,0.0,0.056,-0.03793194386372318,0.104,-0.005077716467034544,0.236,0.03563476020240348,0.284
89,0.034076152923754814,0.064,-0.0010024707415111033,0.18,0.0,0.204,0.2526388099023576,0.256
90,0.0012592015729141288,0.056,-0.02249060611531119,0.104,0.0,0.204,0.09102406649837871,0.256
91,0.00015464654608834556,0.068,-0.019553572115660403,0.104,-0.018840949292947693,0.228,0.046320898104892816,0.3
92,0.0,0.056,-0.02376813838289977,0.104,0.0,0.204,0.18114356233660908,0.256
93,0.000388109760653268,0.056,-0.011284307962864455,0.104,0.0,0.204,0.045808884193214085,0.256
94,0.009935398161312236,0.056,-0.023820137724746993,0.116,0.0,0.204,0.11455159151304897,0.256
95,0.01753207870301187,0.08,-0.007335924165976558,0.148,0.0,0.204,0.09033165820775833,0.256
96,0.005435989354519234,0.056,-0.006236251229393469,0.108,0.0,0.204,0.35600507660081954,0.256
97,0.026616960317585748,0.056,-0.0030929350659820738,0.128,0.0,0.204,0.32109300373206073,0.256
98,0.001210610383948047,0.056,-0.013798290830990888,0.104,0.0,0.204,0.04074190455020755,0.256
99,0.009642082258129294,0.088,0.0,0.104,-3.667189490267723e-05,0.272,0.016832404984815853,0.296
100,0.033501601481841725,0.056,-0.061803295461598226,0.164,-0.012187111179860306,0.204,0.27414119417289395,0.308
101,0.0005327155732142026,0.056,-0.005945450540227877,0.14,-0.035087872684055305,0.232,0.011727074842216835,0.288
102,0.025013697184519748,0.056,-0.03569847334043906,0.164,-0.00010335918810057648,0.276,0.31767564693870975,0.3
103,0.0038881908208354466,0.056,-0.01797831930617024,0.104,0.0,0.204,0.2001738340695496,0.256
104,0.0,0.056,-0.01681378588664004,0.104,-0.01495436032284156,0.204,0.014351754050234429,0.264
105,0.03435423497847086,0.056,0.0,0.104,0.0,0.204,0.2141784006550207,0.256
106,0.013560992247499255,0.128,0.0,0.104,0.0,0.204,0.1593496937054551,0.256
107,0.0009456796500513941,0.056,-0.02538850375260749,0.104,0.0,0.204,0.053549967935745395,0.256
108,0.009146249590163573,0.056,-0.013000917994483085,0.104,0.0,0.204,0.02408683294615362,0.256
109,0.019134683533952587,0.056,-0.021227176520475906,0.12,0.0,0.204,0.19439236042727656,0.256
110,0.021328758994145134,0.056,-0.0028860461730549716,0.156,0.0,0.204,0.13030012156240348,0.256
111,0.0027774974160193738,0.124,-0.0011149856344454087,0.104,0.0,0.204,0.1465245441418273,0.284
112,0.014033465742635953,0.112,-0.024752732622203073,0.176,-0.015452747151082016,0.204,0.01905528158697882,0.256
113,0.0002017043438248767,0.132,-0.0036506376544602256,0.104,-0.011630276505757394,0.236,0.004804686515173686,0.296
114,0.011562708400232146,0.112,-0.009673346638013539,0.176,-0.0035411586943266187,0.204,0.06357008898048216,0.256
115,0.0,0.056,-0.021731159856791568,0.168,-0.011197659423315678,0.204,0.014802529766344814,0.276
116,0.0351381912407909,0.096,-0.011903233379158384,0.164,-0.00042064872953241183,0.204,0.13046183910853948,0.256
117,0.0,0.056,-0.050028355559166716,0.14,-0.01251952573662148,0.204,0.06285263092606277,0.276
118,0.013782231825927742,0.084,-0.010478714316503577,0.164,-0.006300520982650197,0.204,0.03292923589539145,0.272
119,0.02214526340199198,0.076,-0.014360609244016168,0.176,-0.010145791803686086,0.204,0.04585961466111052,0.256
120,0.0233644909949498,0.1,-0.01922228385879046,0.176,-0.0137048791437878,0.204,0.07653965612277959,0.296
121,0.012977499901313003,0.104,-0.018006947842566637,0.168,-0.00756846550582912,0.204,0.08917329013442689,0.308
122,0.00980857406856618,0.116,-0.008469443740582661,0.176,-0.004504725980612431,0.204,0.050838890333506075,0.256
123,0.0004840990509517119,0.136,-0.007661548896875,0.104,-0.0034267352942531815,0.204,0.07859559620111584,0.268
124,0.006427070359986205,0.116,-0.004168602961196062,0.184,-0.008410285131635012,0.204,0.009080992730137015,0.28
125,0.013466375485350816,0.116,-0.015301794331630958,0.176,-0.007044300162007034,0.204,0.033563955507487114,0.256
126,0.0,0.056,-0.03403062600515921,0.104,-0.0047926594713257,0.204,0.018631527672094823,0.256
127,0.01886536068792693,0.096,-0.0038466442538820493,0.172,-1.4932532295956721e-05,0.204,0.17568258804908887,0.256
128,0.0044922126498689935,0.088,-0.0012845408621980933,0.144,0.0,0.204,0.0558109079301292,0.256
129,0.02641178867951753,0.096,-0.001717588706787946,0.192,-0.0071759649840727815,0.204,0.06965723871080381,0.276
130,0.010575637141255792,0.1,-0.01866242422252214,0.164,-0.006975990313529502,0.204,0.06656377724805694,0.264
131,0.024574409800220763,0.108,-0.02182247984695306,0.176,-0.009926600592100309,0.204,0.12333706614411886,0.256
132,0.0,0.056,-0.047560638170629124,0.132,-0.012302229269272841,0.204,0.01956298200843363,0.276
133,0.00775029151106674,0.056,-0.007315483240348071,0.18,-0.0035177197303200153,0.204,0.13467118844040574,0.256
134,0.006103023633586432,0.128,-0.008908006183226003,0.18,-0.00331604699250943,0.204,0.04453100942295711,0.256
135,0.03390041552042742,0.096,-0.025126514944701805,0.172,-0.011989073787232194,0.204,0.08159770226417605,0.256
136,9.436438006467382e-05,0.068,-0.02570323232909042,0.112,-0.00020475576574427494,0.3,0.005316401020158847,0.36
137,0.019833440033592775,0.096,-0.0009126050238988145,0.168,0.0,0.204,0.10102369343938905,0.256
138,0.03190784895807933,0.1,-0.016886744990366992,0.172,-0.00469003538363973,0.204,0.12548812787549285,0.256
139,0.002438858082886182,0.06,-0.03674804087739442,0.104,-0.00409568073683802,0.204,0.06897275842258176,0.3
140,0.0,0.056,-0.021890779856283186,0.172,-0.007512609895004484,0.204,0.07068576297558483,0.256
141,0.0,0.056,-0.014518875279114551,0.156,-0.0035759932667650722,0.204,0.13879520234917947,0.256
142,0.008670366103142823,0.108,-0.012022522037658377,0.172,-0.006821974019497679,0.204,0.06048842153640688,0.256
143,0.007666287378071386,0.116,-0.02154183451696562,0.172,-0.010694188640821606,0.204,0.05646985953327024,0.26
144,0.010887628131134005,0.056,-0.01622708047908846,0.18,-0.01566529171227881,0.204,0.07641458547196071,0.256
145,0.0009747845214420124,0.108,-0.012334374829378313,0.156,-0.002314066720228841,0.204,0.05762837194779233,0.256
146,0.018519958056713425,0.104,-0.012861526373012112,0.172,-0.003117389064287158,0.204,0.08214613533810211,0.256
147,0.00010029647430663194,0.072,-0.01880123878280303,0.108,-0.03450675466745088,0.248,0.007214241380995478,0.644
148,0.004530810193248737,0.064,-0.013202944894300439,0.112,-0.008195855254463227,0.28,0.051687741039616625,0.256
149,0.0052336180773359785,0.08,-0.003222504839776889,0.124,-0.03950258735388158,0.268,0.005671286932321435,0.636
150,0.010397511195770221,0.076,0.0,0.104,-0.022111170925342493,0.264,0.011524901473502727,0.576
151,0.0011219853038864154,0.056,-0.03031827639233875,0.104,-0.04021018887832282,0.24,0.017659261219320526,0.604
152,0.02439629813203329,0.06,0.0,0.104,-0.02233519354707706,0.264,0.01873336427638205,0.484
153,0.016086030397162495,0.08,0.0,0.104,-0.0006970125013828389,0.3,0.07506237150633986,0.256
154,0.0009047565487873791,0.056,-0.018254276533980367,0.104,-0.0006346249748963486,0.292,0.043952226779882975,0.484
155,4.424340662094482e-05,0.068,-0.02318990000001261,0.104,-0.014002084296168962,0.272,0.003519799733945014,0.512
156,0.0,0.056,-0.013440406994507992,0.104,-1.2741111282569345e-05,0.3,0.025157538698630803,0.256
157,0.0,0.056,-0.0130677109070509,0.108,-0.0303194009100969,0.248,0.009731415304042939,0.56
158,0.010876936591026436,0.056,-0.011701984539632405,0.116,-0.03335972981396865,0.252,0.013987887353503238,0.712
159,0.028018207597411814,0.056,0.0,0.104,-0.012772716301785062,0.248,0.07429011538911238,0.612
160,0.005073956304741471,0.068,-0.003165016545722382,0.112,-0.002990584647317975,0.284,0.042427827630902124,0.256
161,0.03116400141081905,0.072,0.0,0.104,-0.025596578662254572,0.256,0.020270785917123137,0.48
162,0.036455338344510396,0.088,0.0,0.104,-0.01171664026612637,0.264,0.04802316785286894,0.476
163,0.02578365445804896,0.068,0.0,0.104,-0.036211456840822484,0.244,0.02480863723713885,0.476
164,0.030656311775356437,0.08,0.0,0.104,-0.005657589388209728,0.288,0.006885225413066782,0.428
165,0.0023648940113609037,0.06,-0.005644806092432976,0.116,0.0,0.204,0.0599364678673683,0.256
166,0.0055777214497641295,0.144,-0.002831528234477875,0.104,-0.011004546684172278,0.272,0.039498536238151194,0.704
167,0.00779438588083911,0.072,-0.003811221737375951,0.12,-0.03438295920073787,0.252,0.06573060281542205,0.352
168,0.043458249202357746,0.1,0.0,0.104,-0.021641787029013666,0.264,0.0074951789630134675,0.68
169,0.008374704117284727,0.056,-0.0012510413567046743,0.14,-0.005856016273338986,0.244,0.005674516198992475,0.636
170,0.02963338606694806,0.068,0.0,0.104,-0.015859941078788974,0.26,0.04961486873777568,0.4
171,0.0023622761342545055,0.06,-0.017115791588636423,0.104,-0.04095102290986472,0.26,0.015080098011095106,0.564
172,0.006146013043418074,0.112,-0.044036934218469145,0.152,-0.04914844808609759,0.248,0.10338646504245473,0.4
173,0.03828334156893828,0.1,0.0,0.104,-0.004847264919894021,0.284,0.14261148188519535,0.376
174,0.000541251897984387,0.148,-0.0016506139463220463,0.104,-0.0008571798738654956,0.256,0.047988443087572184,0.3
175,0.0,0.056,-0.02844039509777477,0.104,-0.0384413400341802,0.232,0.02821485221946606,0.684
176,0.0322380535462767,0.092,0.0,0.104,-0.022871943123668127,0.276,0.008200714861143385,0.568
177,0.03214692171721817,0.08,0.0,0.104,-0.02379241660875305,0.256,0.0216545888838377,0.716
178,0.024553051650342467,0.096,0.0,0.104,-0.010195427650658562,0.256,0.029080657286472907,0.548
179,0.0,0.056,-0.01699976896439924,0.104,-0.010515241460399654,0.268,0.00043866688251650084,0.632
180,0.006597238377594409,0.056,-0.01188992592535249,0.112,-0.0071385421884312345,0.256,0.0021345381214211215,0.408
181,0.007450104268642689,0.056,-0.012400614887408058,0.124,-0.03864977334723181,0.264,0.03806319856844672,0.644
182,0.006660821961836238,0.144,-0.0018311822486903459,0.108,-0.02201010678843755,0.252,0.007531025835102399,0.388
183,0.004098190706542592,0.056,-0.00640613104164783,0.112,-0.026865482257858887,0.264,0.029087872531746203,0.544
